date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:50	105559/105559	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:42%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien.html	(from http://tieuhocyenso.edu.vn/)
20:43:51	99071/99071	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:43%20GMT	http://tieuhocyenso.edu.vn/?page=home	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/index9ba3.html	(from http://tieuhocyenso.edu.vn/)
20:43:57	106066/106066	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:50%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong.html	(from http://tieuhocyenso.edu.vn/)
20:43:57	83495/83495	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:51%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-tuc-tu-so	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-tuc-tu-so.html	(from http://tieuhocyenso.edu.vn/)
20:44:04	83598/83598	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:57%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-tuc-tu-phong	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-tuc-tu-phong.html	(from http://tieuhocyenso.edu.vn/)
20:44:05	81432/81432	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:43:58%20GMT	http://tieuhocyenso.edu.vn/chuyen-de-giao-duc	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/chuyen-de-giao-duc.html	(from http://tieuhocyenso.edu.vn/)
20:44:10	81752/81752	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:04%20GMT	http://tieuhocyenso.edu.vn/chuyen-de-giao-duc/thong-bao-tu-so	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/chuyen-de-giao-duc/thong-bao-tu-so.html	(from http://tieuhocyenso.edu.vn/)
20:44:12	83647/83647	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:05%20GMT	http://tieuhocyenso.edu.vn/chuyen-de-giao-duc/thong-bao-tu-phong	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/chuyen-de-giao-duc/thong-bao-tu-phong.html	(from http://tieuhocyenso.edu.vn/)
20:44:15	282401/282401	---M--	200	added ('OK')	image/png	etag:%2261650f31-44f21%22	http://tieuhocyenso.edu.vn/upload/29385/20211012/eab1b066fc5735096c46-removebg-preview__1__e4b1efb21e.png	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/upload/29385/20211012/eab1b066fc5735096c46-removebg-preview__1__e4b1efb21e.png	(from http://tieuhocyenso.edu.vn/)
20:44:16	81630/81630	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:10%20GMT	http://tieuhocyenso.edu.vn/chuyen-de-giao-duc/thong-bao	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/chuyen-de-giao-duc/thong-bao.html	(from http://tieuhocyenso.edu.vn/)
20:44:18	80191/80191	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:13%20GMT	http://tieuhocyenso.edu.vn/lien-he	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/lien-he.html	(from http://tieuhocyenso.edu.vn/)
